Team,Year,Contest (Average),AveragePoints,Contest (First),FirstPct,Contest (Top 5),Top5Pct
North Bellmore,1997,Overall,0.00,Overall,NA,Overall,NA
North Babylon,1997,Overall,NA,Overall,NA,Overall,NA
Copiague,1997,Overall,NA,Overall,NA,Overall,NA
Baldwin,1997,Overall,NA,Overall,NA,Overall,NA
West Sayville,1997,Overall,0.07,Overall,NA,Overall,NA
Roslyn,1997,Overall,NA,Overall,NA,Overall,NA
Brentwood,1997,Overall,NA,Overall,NA,Overall,NA
West Islip,1997,Overall,NA,Overall,NA,Overall,NA
Manhasset-Lakeville,1997,Overall,0.00,Overall,NA,Overall,NA
Lindenhurst,1997,Overall,0.00,Overall,NA,Overall,NA
Hicksville,1997,Overall,NA,Overall,NA,Overall,NA
Levittown,1997,Overall,NA,Overall,NA,Overall,NA
Spencerport,1997,Overall,0.00,Overall,NA,Overall,NA
Bay Shore,1997,Overall,0.05,Overall,NA,Overall,0.2
Patchogue,1997,Overall,0.36,Overall,0.1,Overall,2.6
Bayport,1997,Overall,NA,Overall,NA,Overall,NA
East Norwich,1997,Overall,NA,Overall,NA,Overall,NA
Sea Breeze,1997,Overall,NA,Overall,NA,Overall,NA
West Hempstead,1997,Overall,0.01,Overall,NA,Overall,NA
Elmont,1997,Overall,NA,Overall,NA,Overall,NA
Saint James,1997,Overall,0.03,Overall,NA,Overall,NA
Islip Terrace,1997,Overall,NA,Overall,NA,Overall,NA
Main-Transit,1997,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,1997,Overall,0.43,Overall,0.2,Overall,1.8
Point Pleasant,1997,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,1998,Overall,0.73,Overall,0.3,Overall,3.2
Sea Breeze,1998,Overall,NA,Overall,NA,Overall,NA
West Carthage,1998,Overall,NA,Overall,NA,Overall,NA
Syosset,1998,Overall,NA,Overall,NA,Overall,NA
Black River,1998,Overall,NA,Overall,NA,Overall,NA
Roslyn,1998,Overall,0.00,Overall,NA,Overall,NA
Hempstead Yellow Hornets,1998,Overall,0.09,Overall,0.2,Overall,0.4
Barnard,1998,Overall,NA,Overall,NA,Overall,NA
Holbrook,1998,Overall,NA,Overall,NA,Overall,NA
Hagerman,1998,Overall,NA,Overall,NA,Overall,NA
South Hempstead,1998,Overall,0.06,Overall,NA,Overall,0.1
Oyster Bay TB,1998,Overall,0.00,Overall,NA,Overall,NA
Port Washington,1998,Overall,NA,Overall,NA,Overall,NA
Clayton,1998,Overall,NA,Overall,NA,Overall,NA
Islip,1998,Overall,0.00,Overall,NA,Overall,NA
New Hyde Park,1998,Overall,0.12,Overall,NA,Overall,0.2
West Islip,1998,Overall,NA,Overall,NA,Overall,NA
Riverhead,1998,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,1998,Overall,0.00,Overall,NA,Overall,NA
Saint James,1998,Overall,0.00,Overall,NA,Overall,NA
Selden,1998,Overall,NA,Overall,NA,Overall,NA
Copenhagen,1998,Overall,NA,Overall,NA,Overall,NA
Cutchogue,1998,Overall,0.02,Overall,NA,Overall,NA
Farmingville,1998,Overall,NA,Overall,NA,Overall,NA
Central Islip,1998,Overall,0.00,Overall,NA,Overall,NA
Bay Shore,1998,Overall,0.18,Overall,NA,Overall,0.8
Hicksville,1998,Overall,0.00,Overall,NA,Overall,NA
Hamlin,1998,Overall,NA,Overall,NA,Overall,NA
Great Neck,1998,Overall,NA,Overall,NA,Overall,NA
Kendall,1998,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,1998,Overall,NA,Overall,NA,Overall,NA
Carle Place,1998,Overall,NA,Overall,NA,Overall,NA
Coram,1998,Overall,NA,Overall,NA,Overall,NA
Patchogue,1998,Overall,0.23,Overall,0.1,Overall,1.2
Henrietta,1998,Overall,NA,Overall,NA,Overall,NA
Baldwin,1998,Overall,NA,Overall,NA,Overall,NA
Point Pleasant,1998,Overall,NA,Overall,NA,Overall,NA
Bayport,1998,Overall,0.00,Overall,NA,Overall,NA
Wyandanch,1998,Overall,NA,Overall,NA,Overall,NA
West Sayville,1998,Overall,2.52,Overall,4.1,Overall,23.8
Main-Transit,1998,Overall,NA,Overall,NA,Overall,NA
Spencerport,1998,Overall,NA,Overall,NA,Overall,NA
Copiague,1998,Overall,0.01,Overall,NA,Overall,NA
Lake Placid,1998,Overall,NA,Overall,NA,Overall,NA
Elmont,1998,Overall,0.00,Overall,NA,Overall,NA
West Hempstead,1998,Overall,NA,Overall,NA,Overall,NA
Manhasset-Lakeville,1998,Overall,0.05,Overall,NA,Overall,0.1
Westbury,1998,Overall,NA,Overall,NA,Overall,NA
Merrick,1998,Overall,0.01,Overall,NA,Overall,NA
East Islip,1998,Overall,0.17,Overall,NA,Overall,0.4
Mineola,1998,Overall,NA,Overall,NA,Overall,NA
Brentwood,1998,Overall,NA,Overall,NA,Overall,NA
North Bellmore,1998,Overall,0.00,Overall,NA,Overall,NA
East Farmingdale,1998,Overall,NA,Overall,NA,Overall,NA
North Babylon,1998,Overall,NA,Overall,NA,Overall,NA
Deerfield,1998,Overall,NA,Overall,NA,Overall,NA
Hewlett,1998,Overall,NA,Overall,NA,Overall,NA
Elmont,1999,Overall,0.05,Overall,NA,Overall,0.3
New Hyde Park,1999,Overall,0.09,Overall,NA,Overall,0.2
Oyster Bay TB,1999,Overall,0.00,Overall,NA,Overall,NA
Main-Transit,1999,Overall,NA,Overall,NA,Overall,NA
Patchogue,1999,Overall,0.35,Overall,NA,Overall,4
Point Pleasant,1999,Overall,NA,Overall,NA,Overall,NA
Westbury,1999,Overall,NA,Overall,NA,Overall,NA
Carle Place,1999,Overall,NA,Overall,NA,Overall,NA
Islip,1999,Overall,0.00,Overall,NA,Overall,NA
South Hempstead,1999,Overall,0.00,Overall,NA,Overall,NA
Bay Shore,1999,Overall,0.26,Overall,NA,Overall,1.6
Copiague,1999,Overall,0.00,Overall,NA,Overall,NA
Manhasset-Lakeville,1999,Overall,0.01,Overall,NA,Overall,NA
East Farmingdale,1999,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,1999,Overall,0.00,Overall,NA,Overall,NA
Henrietta,1999,Overall,NA,Overall,NA,Overall,NA
Deerfield,1999,Overall,NA,Overall,NA,Overall,NA
Merrick,1999,Overall,0.00,Overall,NA,Overall,NA
West Sayville,1999,Overall,0.79,Overall,0.3,Overall,4.6
Inwood,1999,Overall,NA,Overall,NA,Overall,NA
Melville,1999,Overall,NA,Overall,NA,Overall,NA
Huntington Manor,1999,Overall,NA,Overall,NA,Overall,NA
Hewlett,1999,Overall,NA,Overall,NA,Overall,NA
Clayton,1999,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,1999,Overall,NA,Overall,NA,Overall,NA
Port Washington,1999,Overall,NA,Overall,NA,Overall,NA
Farmingville,1999,Overall,0.00,Overall,NA,Overall,NA
Glenwood,1999,Overall,NA,Overall,NA,Overall,NA
Hicksville,1999,Overall,0.00,Overall,NA,Overall,NA
Coram,1999,Overall,NA,Overall,NA,Overall,NA
North Babylon,1999,Overall,NA,Overall,NA,Overall,NA
East Islip,1999,Overall,0.00,Overall,NA,Overall,NA
Barnard,1999,Overall,NA,Overall,NA,Overall,NA
Cutchogue,1999,Overall,NA,Overall,NA,Overall,NA
Hagerman,1999,Overall,NA,Overall,NA,Overall,NA
North Bellmore,1999,Overall,0.00,Overall,NA,Overall,NA
Hempstead Yellow Hornets,1999,Overall,0.47,Overall,0.1,Overall,4.3
Spencerport,1999,Overall,1.37,Overall,0.5,Overall,12.9
Saint James,1999,Overall,0.00,Overall,NA,Overall,NA
Central Islip,1999,Overall,0.00,Overall,NA,Overall,NA
West Islip,1999,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,1999,Overall,0.04,Overall,NA,Overall,0.1
Levittown,1999,Overall,NA,Overall,NA,Overall,NA
Brentwood,1999,Overall,NA,Overall,NA,Overall,NA
Baldwin,1999,Overall,NA,Overall,NA,Overall,NA
Selden,1999,Overall,NA,Overall,NA,Overall,NA
Babylon,1999,Overall,NA,Overall,NA,Overall,NA
Roslyn,1999,Overall,0.00,Overall,NA,Overall,NA
Hagerman,2000,Overall,NA,Overall,NA,Overall,NA
Saint James,2000,Overall,0.02,Overall,NA,Overall,NA
Central Islip,2000,Overall,0.00,Overall,NA,Overall,NA
Manhasset-Lakeville,2000,Overall,0.19,Overall,0.1,Overall,0.2
New Hyde Park,2000,Overall,0.04,Overall,NA,Overall,NA
Henrietta,2000,Overall,NA,Overall,NA,Overall,NA
Clayton,2000,Overall,NA,Overall,NA,Overall,NA
Farmingville,2000,Overall,0.00,Overall,NA,Overall,NA
East Islip,2000,Overall,0.21,Overall,NA,Overall,0.6
Barnard,2000,Overall,NA,Overall,NA,Overall,NA
Selden,2000,Overall,NA,Overall,NA,Overall,NA
Deerfield,2000,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,2000,Overall,0.00,Overall,NA,Overall,NA
West Carthage,2000,Overall,NA,Overall,NA,Overall,NA
Main-Transit,2000,Overall,NA,Overall,NA,Overall,NA
West Sayville,2000,Overall,2.25,Overall,2.5,Overall,19.5
Point Pleasant,2000,Overall,0.00,Overall,NA,Overall,NA
Islip,2000,Overall,0.01,Overall,NA,Overall,NA
Port Washington,2000,Overall,NA,Overall,NA,Overall,NA
Spencerport,2000,Overall,0.81,Overall,0.2,Overall,3.1
Oyster Bay TB,2000,Overall,0.00,Overall,NA,Overall,NA
Hempstead Yellow Hornets,2000,Overall,0.30,Overall,0.1,Overall,1.2
Elmont,2000,Overall,0.08,Overall,NA,Overall,0.1
North Babylon,2000,Overall,NA,Overall,NA,Overall,NA
West Hempstead,2000,Overall,NA,Overall,NA,Overall,NA
Bay Shore,2000,Overall,0.37,Overall,0.1,Overall,0.8
Copenhagen,2000,Overall,NA,Overall,NA,Overall,NA
Union Hose,2000,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,2000,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,2000,Overall,NA,Overall,NA,Overall,NA
Huntington Manor,2000,Overall,NA,Overall,NA,Overall,NA
Hamlin,2000,Overall,NA,Overall,NA,Overall,NA
Coram,2000,Overall,NA,Overall,NA,Overall,NA
Mineola,2000,Overall,NA,Overall,NA,Overall,NA
South Hempstead,2000,Overall,0.00,Overall,NA,Overall,NA
Westbury,2000,Overall,NA,Overall,NA,Overall,NA
Hewlett,2000,Overall,NA,Overall,NA,Overall,NA
Brentwood,2000,Overall,NA,Overall,NA,Overall,NA
Roslyn,2000,Overall,0.49,Overall,NA,Overall,4.3
Baldwin,2000,Overall,NA,Overall,NA,Overall,NA
Carle Place,2000,Overall,NA,Overall,NA,Overall,NA
North Bellmore,2000,Overall,0.00,Overall,NA,Overall,NA
Cutchogue,2000,Overall,NA,Overall,NA,Overall,NA
Patchogue,2000,Overall,0.00,Overall,NA,Overall,NA
Lindenhurst,2000,Overall,0.00,Overall,NA,Overall,NA
Hicksville,2000,Overall,NA,Overall,NA,Overall,NA
Copiague,2000,Overall,NA,Overall,NA,Overall,NA
Spencerport,2001,Overall,1.59,Overall,1.4,Overall,11.2
Deerfield,2001,Overall,NA,Overall,NA,Overall,NA
Hagerman,2001,Overall,NA,Overall,NA,Overall,NA
Elmont,2001,Overall,0.00,Overall,NA,Overall,NA
North Bellmore,2001,Overall,0.00,Overall,NA,Overall,NA
West Islip,2001,Overall,NA,Overall,NA,Overall,NA
Cutchogue,2001,Overall,NA,Overall,NA,Overall,NA
Manhasset-Lakeville,2001,Overall,0.93,Overall,0.5,Overall,5.7
Brentwood,2001,Overall,NA,Overall,NA,Overall,NA
Hicksville,2001,Overall,0.00,Overall,NA,Overall,NA
Islip,2001,Overall,0.10,Overall,NA,Overall,0.2
Copiague,2001,Overall,NA,Overall,NA,Overall,NA
Oyster Bay TB,2001,Overall,0.00,Overall,NA,Overall,NA
New Hyde Park,2001,Overall,2.25,Overall,4.2,Overall,20.9
Hamlin,2001,Overall,NA,Overall,NA,Overall,NA
North Babylon,2001,Overall,NA,Overall,NA,Overall,NA
Central Islip,2001,Overall,0.10,Overall,NA,Overall,0.6
Baldwin,2001,Overall,NA,Overall,NA,Overall,NA
Coram,2001,Overall,NA,Overall,NA,Overall,NA
West Sayville,2001,Overall,2.51,Overall,4.2,Overall,20.6
Freeport,2001,Overall,0.13,Overall,NA,Overall,0.3
West Hempstead,2001,Overall,NA,Overall,NA,Overall,NA
Huntington Manor,2001,Overall,NA,Overall,NA,Overall,NA
Saint James,2001,Overall,0.12,Overall,NA,Overall,0.1
Clayton,2001,Overall,NA,Overall,NA,Overall,NA
Massapequa,2001,Overall,NA,Overall,NA,Overall,NA
Copenhagen,2001,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,2001,Overall,0.04,Overall,NA,Overall,NA
Henrietta,2001,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,2001,Overall,NA,Overall,NA,Overall,NA
Selden,2001,Overall,NA,Overall,NA,Overall,NA
Bay Shore,2001,Overall,0.19,Overall,NA,Overall,1
Patchogue,2001,Overall,0.42,Overall,0.2,Overall,2.9
Hewlett,2001,Overall,0.00,Overall,NA,Overall,NA
Westbury,2001,Overall,0.00,Overall,NA,Overall,NA
West Carthage,2001,Overall,NA,Overall,NA,Overall,NA
Hempstead Yellow Hornets,2001,Overall,0.65,Overall,0.1,Overall,2.5
East Islip,2001,Overall,0.44,Overall,NA,Overall,1.8
Point Pleasant,2001,Overall,NA,Overall,NA,Overall,NA
Farmingville,2001,Overall,0.00,Overall,NA,Overall,NA
Port Washington,2001,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,2001,Overall,0.01,Overall,NA,Overall,0.1
Carle Place,2001,Overall,NA,Overall,NA,Overall,NA
Merrick,2001,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,2001,Overall,NA,Overall,NA,Overall,NA
Roslyn,2001,Overall,0.19,Overall,NA,Overall,0.6
Oceanside EN,2001,Overall,NA,Overall,NA,Overall,NA
Levittown,2001,Overall,NA,Overall,NA,Overall,NA
New Hyde Park,2002,Overall,0.82,Overall,0.4,Overall,5
Patchogue,2002,Overall,0.05,Overall,NA,Overall,0.1
West Islip,2002,Overall,NA,Overall,NA,Overall,NA
Henrietta,2002,Overall,NA,Overall,NA,Overall,NA
Riverhead,2002,Overall,0.00,Overall,NA,Overall,NA
Selden,2002,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,2002,Overall,NA,Overall,NA,Overall,NA
Saint James,2002,Overall,0.00,Overall,NA,Overall,NA
Main-Transit,2002,Overall,NA,Overall,NA,Overall,NA
Brentwood,2002,Overall,NA,Overall,NA,Overall,NA
Central Islip,2002,Overall,0.35,Overall,NA,Overall,1.2
Spencerport,2002,Overall,NA,Overall,NA,Overall,NA
East Islip,2002,Overall,0.00,Overall,NA,Overall,NA
Port Washington,2002,Overall,NA,Overall,NA,Overall,NA
Farmingville,2002,Overall,0.00,Overall,NA,Overall,NA
North Bellmore,2002,Overall,0.50,Overall,0.4,Overall,3.2
Baldwin,2002,Overall,NA,Overall,NA,Overall,NA
Islip,2002,Overall,0.21,Overall,NA,Overall,0.5
West Sayville,2002,Overall,0.70,Overall,0.2,Overall,4.1
North Merrick,2002,Overall,NA,Overall,NA,Overall,NA
North Babylon,2002,Overall,NA,Overall,NA,Overall,NA
Cutchogue,2002,Overall,0.00,Overall,NA,Overall,NA
Oyster Bay TB,2002,Overall,0.12,Overall,NA,Overall,0.8
South Hempstead,2002,Overall,NA,Overall,NA,Overall,NA
Evans Mills,2002,Overall,NA,Overall,NA,Overall,NA
Carle Place,2002,Overall,NA,Overall,NA,Overall,NA
Merrick,2002,Overall,NA,Overall,NA,Overall,NA
Union Hose,2002,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,2002,Overall,NA,Overall,NA,Overall,NA
Bay Shore,2002,Overall,0.00,Overall,NA,Overall,NA
Manhasset-Lakeville,2002,Overall,0.75,Overall,0.4,Overall,4.6
Lindenhurst,2002,Overall,NA,Overall,NA,Overall,NA
Copenhagen,2002,Overall,NA,Overall,NA,Overall,NA
Hagerman,2002,Overall,NA,Overall,NA,Overall,NA
Hempstead Yellow Hornets,2002,Overall,1.68,Overall,1.1,Overall,12
West Hempstead,2002,Overall,0.00,Overall,NA,Overall,NA
North Lindenhurst,2002,Overall,0.00,Overall,NA,Overall,NA
Elmont,2002,Overall,0.00,Overall,NA,Overall,NA
Hicksville,2002,Overall,NA,Overall,NA,Overall,NA
Freeport,2002,Overall,NA,Overall,NA,Overall,NA
Westbury,2002,Overall,0.00,Overall,NA,Overall,NA
West Carthage,2002,Overall,NA,Overall,NA,Overall,NA
Roslyn,2002,Overall,0.00,Overall,NA,Overall,NA
Point Pleasant,2002,Overall,0.00,Overall,NA,Overall,NA
Saint James,2003,Overall,0.00,Overall,NA,Overall,NA
Mineola,2003,Overall,NA,Overall,NA,Overall,NA
West Sayville,2003,Overall,1.02,Overall,0.6,Overall,5.3
Merrick,2003,Overall,NA,Overall,NA,Overall,NA
Hagerman,2003,Overall,NA,Overall,NA,Overall,NA
Westbury,2003,Overall,0.00,Overall,NA,Overall,NA
New Hyde Park,2003,Overall,0.43,Overall,0.1,Overall,2.1
Bay Shore,2003,Overall,0.01,Overall,NA,Overall,NA
Port Washington,2003,Overall,NA,Overall,NA,Overall,NA
Cutchogue,2003,Overall,0.00,Overall,NA,Overall,NA
Roslyn,2003,Overall,0.00,Overall,NA,Overall,NA
Central Islip,2003,Overall,0.08,Overall,NA,Overall,NA
Farmingville,2003,Overall,NA,Overall,NA,Overall,NA
Carle Place,2003,Overall,NA,Overall,NA,Overall,NA
Freeport,2003,Overall,0.00,Overall,NA,Overall,NA
East Islip,2003,Overall,0.43,Overall,0.1,Overall,1.2
Spencerport,2003,Overall,0.86,Overall,NA,Overall,8.5
Copiague,2003,Overall,NA,Overall,NA,Overall,NA
Patchogue,2003,Overall,0.17,Overall,NA,Overall,1.2
North Babylon,2003,Overall,NA,Overall,NA,Overall,NA
Levittown,2003,Overall,NA,Overall,NA,Overall,NA
Syosset,2003,Overall,NA,Overall,NA,Overall,NA
Manhasset-Lakeville,2003,Overall,0.80,Overall,0.5,Overall,5.7
West Hempstead,2003,Overall,0.00,Overall,NA,Overall,NA
Oceanside EN,2003,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,2003,Overall,0.00,Overall,NA,Overall,NA
South Hempstead,2003,Overall,NA,Overall,NA,Overall,NA
Riverhead,2003,Overall,NA,Overall,NA,Overall,NA
Henrietta,2003,Overall,NA,Overall,NA,Overall,NA
Islip,2003,Overall,0.13,Overall,NA,Overall,0.2
East Farmingdale,2003,Overall,NA,Overall,NA,Overall,NA
Baldwin,2003,Overall,NA,Overall,NA,Overall,NA
Selden,2003,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,2003,Overall,NA,Overall,NA,Overall,NA
Main-Transit,2003,Overall,NA,Overall,NA,Overall,NA
Copenhagen,2003,Overall,NA,Overall,NA,Overall,NA
Oyster Bay TB,2003,Overall,0.01,Overall,NA,Overall,NA
Islip Terrace,2003,Overall,0.00,Overall,NA,Overall,NA
West Islip,2003,Overall,0.00,Overall,NA,Overall,NA
North Merrick,2003,Overall,NA,Overall,NA,Overall,NA
Hempstead Yellow Hornets,2003,Overall,0.21,Overall,NA,Overall,0.3
Point Pleasant,2003,Overall,NA,Overall,NA,Overall,NA
Hicksville,2003,Overall,0.00,Overall,NA,Overall,NA
North Bellmore,2003,Overall,0.28,Overall,NA,Overall,0.9
Elmont,2003,Overall,0.00,Overall,NA,Overall,NA
North Bellmore,2004,Overall,0.00,Overall,NA,Overall,NA
Westbury,2004,Overall,0.00,Overall,NA,Overall,NA
West Islip,2004,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,2004,Overall,NA,Overall,NA,Overall,NA
Islip,2004,Overall,0.04,Overall,NA,Overall,NA
Elsmere,2004,Overall,NA,Overall,NA,Overall,NA
Copenhagen,2004,Overall,NA,Overall,NA,Overall,NA
Henrietta,2004,Overall,NA,Overall,NA,Overall,NA
Main-Transit,2004,Overall,NA,Overall,NA,Overall,NA
West Sayville,2004,Overall,0.66,Overall,0.3,Overall,3.2
Carle Place,2004,Overall,NA,Overall,NA,Overall,NA
Farmingville,2004,Overall,NA,Overall,NA,Overall,NA
West Carthage,2004,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,2004,Overall,NA,Overall,NA,Overall,NA
West Hempstead,2004,Overall,0.00,Overall,NA,Overall,NA
Manhasset-Lakeville,2004,Overall,0.14,Overall,NA,Overall,0.2
Cutchogue,2004,Overall,0.00,Overall,NA,Overall,NA
North Greece,2004,Overall,NA,Overall,NA,Overall,NA
Elmont,2004,Overall,0.00,Overall,NA,Overall,NA
South Hempstead,2004,Overall,0.00,Overall,NA,Overall,NA
Union Hose,2004,Overall,0.00,Overall,NA,Overall,NA
Oyster Bay TB,2004,Overall,0.00,Overall,NA,Overall,NA
Freeport,2004,Overall,0.00,Overall,NA,Overall,NA
Patchogue,2004,Overall,1.68,Overall,1.4,Overall,13.2
Baldwin,2004,Overall,NA,Overall,NA,Overall,NA
Hagerman,2004,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,2004,Overall,0.01,Overall,NA,Overall,NA
Roslyn,2004,Overall,NA,Overall,NA,Overall,NA
Lake Placid,2004,Overall,NA,Overall,NA,Overall,NA
Point Pleasant,2004,Overall,0.00,Overall,NA,Overall,NA
Brentwood,2004,Overall,NA,Overall,NA,Overall,NA
Central Islip,2004,Overall,0.15,Overall,NA,Overall,0.8
Barnard,2004,Overall,NA,Overall,NA,Overall,NA
New Hyde Park,2004,Overall,0.27,Overall,NA,Overall,0.8
North Babylon,2004,Overall,NA,Overall,NA,Overall,NA
Spencerport,2004,Overall,1.30,Overall,1.5,Overall,11.4
Selden,2004,Overall,NA,Overall,NA,Overall,NA
Hicksville,2004,Overall,NA,Overall,NA,Overall,NA
Port Washington,2004,Overall,NA,Overall,NA,Overall,NA
Hempstead Yellow Hornets,2004,Overall,0.71,Overall,0.1,Overall,3.3
Atlantic Steamer,2004,Overall,NA,Overall,NA,Overall,NA
Islip Terrace,2004,Overall,0.00,Overall,NA,Overall,NA
Saint James,2004,Overall,0.00,Overall,NA,Overall,NA
North Merrick,2004,Overall,NA,Overall,NA,Overall,NA
Deerfield,2004,Overall,NA,Overall,NA,Overall,NA
Bay Shore,2004,Overall,0.02,Overall,NA,Overall,NA
East Islip,2004,Overall,0.00,Overall,NA,Overall,NA
Bay Shore,2005,Overall,0.00,Overall,NA,Overall,NA
